state	election_date	jurisdiction_type	county_name	precinct_id	municipality	name	address	In_Ohio	long	lat	geometry
OH	2012-11-06	county	ADAMS	01-AAA	PEEBLES	BRATTON TOWNSHIP BLDG	2535 LOUDEN RD, PEEBLES, OH, 45660	TRUE	-83.454664	39.0250998	c(-83.454664, 39.0250998)
OH	2012-11-06	county	ADAMS	01-AAB	WEST UNION	CEDAR MILLS SCHOOL	4910 SR 348, WEST UNION, OH, 45693	TRUE	-83.3942826	38.8221574	c(-83.3942826, 38.8221574)
OH	2012-11-06	county	ADAMS	01-AAC	WEST UNION	LYNX (OLD LYNX SCHOOL BLDG)	505 LYNX DR, WEST UNION, OH, 45693	TRUE	-83.4154675	38.7726766	c(-83.4154675, 38.7726766)
OH	2012-11-06	county	ADAMS	01-AAD	PEEBLES	FRANKLIN TOWNSHIP FIREHOUSE	29670 SR 41, PEEBLES, OH, 45660	TRUE	-83.3776451	38.9884832	c(-83.3776451, 38.9884832)
OH	2012-11-06	county	ADAMS	01-AAE	STOUT	GREEN TOWNSHIP FIREHOUSE	2243 BLUE CREEK RD, STOUT, OH, 45684	TRUE	-83.3785007	38.698693	c(-83.3785007, 38.698693)
OH	2012-11-06	county	ADAMS	01-AAF	STOUT	ROME VILLAGE TOWNSHIP BLDG	225 SECOND ST, STOUT, OH, 45684	TRUE	-83.3777041	38.6633682	c(-83.3777041, 38.6633682)
OH	2012-11-06	county	ADAMS	01-AAG	BLUE CREEK	JEFFERSON SCHOOL GYMNASIUM (CHURN CREEK)	8990 BLUE CREEK RD, BLUE CREEK, OH, 45616	TRUE	-83.329523	38.778844	c(-83.329523, 38.778844)
OH	2012-11-06	county	ADAMS	01-AAH	BLUE CREEK	JEFFERSON SCHOOL GYMNASIUM (WAMSLEY)	8990 BLUE CREEK RD, BLUE CREEK, OH, 45616	TRUE	-83.329523	38.778844	c(-83.329523, 38.778844)
OH	2012-11-06	county	ADAMS	01-AAI	WEST UNION	LIBERTY TWP BLDG (LIBERTY SOUTH)	8632 SR 136, WEST UNION, OH, 45693	TRUE	-83.6033899	38.8028182	c(-83.6033899, 38.8028182)
OH	2012-11-06	county	ADAMS	01-AAJ	MANCHESTER	MANCHESTER COMM BLDG (MANCHESTER TWP)	400 PIKE ST, MANCHESTER, OH, 45144	TRUE	-83.609256	38.688908	c(-83.609256, 38.688908)
OH	2012-11-06	county	ADAMS	01-AAK	MANCHESTER	MANCHESTER COMM BLDG (MANCHESTER A)	400 PIKE ST, MANCHESTER, OH, 45144	TRUE	-83.609256	38.688908	c(-83.609256, 38.688908)
OH	2012-11-06	county	ADAMS	01-AAL	MANCHESTER	MANCHESTER COMM BLDG (MANCHESTER B)	400 PIKE ST, MANCHESTER, OH, 45144	TRUE	-83.609256	38.688908	c(-83.609256, 38.688908)
OH	2012-11-06	county	ADAMS	01-AAM	MANCHESTER	MANCHESTER COMM BLDG (MANCHESTER C)	400 PIKE ST, MANCHESTER, OH, 45144	TRUE	-83.609256	38.688908	c(-83.609256, 38.688908)
OH	2012-11-06	county	ADAMS	01-AAN	PEEBLES	PEEBLES LIFE SQUAD BLDG(JACKSONVILLE)	150 MARBLE FURNACE RD, PEEBLES, OH, 45660	TRUE	-83.4118594	38.9509705	c(-83.4118594, 38.9509705)
OH	2012-11-06	county	ADAMS	01-AAO	PEEBLES	MINERAL SPRINGS TOWNSHIP BLDG	33 PEACH MOUNTAIN LANE, PEEBLES, OH, 45660	TRUE	-83.3291286	38.887482	c(-83.3291286, 38.887482)
OH	2012-11-06	county	ADAMS	01-AAP	PEEBLES	PEEBLES LIFE SQUAD BLDG (PEEBLES EAST)	150 MARBLE FURNACE RD, PEEBLES, OH, 45660	TRUE	-83.4118594	38.9509705	c(-83.4118594, 38.9509705)
OH	2012-11-06	county	ADAMS	01-AAQ	PEEBLES	PEEBLES LIFE SQUAD BLDG (PEEBLES WEST)	150 MARBLE FURNACE RD, PEEBLES, OH, 45660	TRUE	-83.4118594	38.9509705	c(-83.4118594, 38.9509705)
OH	2012-11-06	county	ADAMS	01-AAR	MANCHESTER	MONROE TOWNSHIP BLDG	2416 SR 247, MANCHESTER, OH, 45144	TRUE	-83.5163702	38.7344971	c(-83.5163702, 38.7344971)
OH	2012-11-06	county	ADAMS	01-AAS	WEST UNION	OLIVER TWP FIRE STATION	4613 UNITY RD, WEST UNION, OH, 45693	TRUE	-83.521448	38.894671	c(-83.521448, 38.894671)
OH	2012-11-06	county	ADAMS	01-AAT	SEAMAN	SEAMAN PCT/ FIRE STATION	6493 TRI-COUNTY RD, SEAMAN, OH, 45679	TRUE	-83.5802422	38.9398892	c(-83.5802422, 38.9398892)
OH	2012-11-06	county	ADAMS	01-AAU	SEAMAN	SEAMAN COMMUNITY BLDG	17806 SR 247, SEAMAN, OH, 45679	TRUE	-83.5704231	38.9412982	c(-83.5704231, 38.9412982)
OH	2012-11-06	county	ADAMS	01-AAV	SEAMAN	TRANQUILITY /FIRE STATION	6493 TRI-COUNTY RD, SEAMAN, OH, 45679	TRUE	-83.5802422	38.9398892	c(-83.5802422, 38.9398892)
OH	2012-11-06	county	ADAMS	01-AAW	BENTONVILLE	BENTONVILLE TOWNSHIP BLDG	315 POPLAR FLAT RD, BENTONVILLE, OH, 45105	TRUE	-83.6065297	38.7495054	c(-83.6065297, 38.7495054)
OH	2012-11-06	county	ADAMS	01-AAX	MANCHESTER	BRADYVILLE TOWNSHIP BLDG	ENON CHURCH, 1561 SR 41 (IN BRADYVILLE), MANCHESTER, OH, 45144	TRUE	-83.6093611	38.6881293	c(-83.6093611, 38.6881293)
OH	2012-11-06	county	ADAMS	01-AAY	WEST UNION	ADAMS CO FAIRGROUNDS (TIFFIN EAST)	836 BOYD AVE, WEST UNION, OH, 45693	TRUE	-83.5386984	38.8008357	c(-83.5386984, 38.8008357)
OH	2012-11-06	county	ADAMS	01-AAZ	WEST UNION	ADAMS CO FAIRGROUNDS (TIFFIN WEST)	836 BOYD AVE, WEST UNION, OH, 45693	TRUE	-83.5386984	38.8008357	c(-83.5386984, 38.8008357)
OH	2012-11-06	county	ADAMS	01-ABA	WEST UNION	ADAMS CO FAIRGROUNDS (W UNION EAST)	836 BOYD AVE, WEST UNION, OH, 45693	TRUE	-83.5386984	38.8008357	c(-83.5386984, 38.8008357)
