state	election_date	jurisdiction_type	county_name	precinct_id	municipality	name	address	lat	long
OH	2016-11-08	county	ADAMS	01AAA	PEEBLES	BRATTON TWP BLDG	2535 LOUDEN RD, PEEBLES, OH, 45660	39.0250998	-83.454664
OH	2016-11-08	county	ADAMS	01AAB	WEST UNION	LYNX OLD SCHOOL BLDG	505 LYNX DRIVE, WEST UNION, OH, 45693	38.7726766	-83.4154675
OH	2016-11-08	county	ADAMS	01AAD	PEEBLES	FRANKLIN TWP FIREHOUSE	29670 SR 41, PEEBLES, OH, 45660	38.9884832	-83.3776451
OH	2016-11-08	county	ADAMS	01AAE	STOUT	GREEN TWP FIREHOUSE	2243 BLUE CREEK RD, STOUT, OH, 45684	38.698693	-83.3785007
OH	2016-11-08	county	ADAMS	01AAG	BLUE CREEK	JEFFERSON SCHOOL GYM	8990 BLUE CREEK RD, BLUE CREEK, OH, 45616	38.778844	-83.329523
OH	2016-11-08	county	ADAMS	01AAI	WEST UNION	LIBERTY TWP BLDG	8632 SR 136, WEST UNION, OH, 45693	38.8028182	-83.6033899
OH	2016-11-08	county	ADAMS	01AAK	MANCHESTER	MANCHESTER COMMUNITY BLDG	400 PIKE STREET, MANCHESTER, OH, 45144	38.688908	-83.609256
OH	2016-11-08	county	ADAMS	01AAN	PEEBLES	PEEBLES FIREHOUSE	182 ELM ST., PEEBLES, OH, 45660	38.9484852	-83.4009295
OH	2016-11-08	county	ADAMS	01AAP	PEEBLES	PEEBLES FIREHOUSE	182 ELM ST., PEEBLES, OH, 45660	38.9484852	-83.4009295
OH	2016-11-08	county	ADAMS	01AAQ	PEEBLES	PEEBLES FIREHOUSE	182 ELM ST., PEEBLES, OH, 45660	38.9484852	-83.4009295
OH	2016-11-08	county	ADAMS	01AAR	MANCHESTER	MONROE TWP. BLDG.	2416 SR 247, MANCHESTER, OH, 45144	38.7344971	-83.5163702
OH	2016-11-08	county	ADAMS	01AAS	WEST UNION	OLIVER TWP FIRE STATION	4613 UNITY RD., WEST UNION, OH, 45693	38.894671	-83.521448
OH	2016-11-08	county	ADAMS	01AAT	SEAMAN	SEAMAN FIRE STATION	6493 TRI-COUNTY RD, SEAMAN, OH, 45679	38.9398892	-83.5802422
OH	2016-11-08	county	ADAMS	01AAU	SEAMAN	SEAMAN COMMUNITY BLDG	17806 SR 247, SEAMAN, OH, 45679	38.9412982	-83.5704231
OH	2016-11-08	county	ADAMS	01AAW	WEST UNION	SPRIGG TWP BLDG	315 POPLAR FLAT RD, WEST UNION, OH, 45693	38.7495054	-83.6065297
OH	2016-11-08	county	ADAMS	01AAY	WEST UNION	ADAMS CO FAIRGROUNDS	836 BOYD AVE, WEST UNION, OH, 45693	38.8008357	-83.5386984
OH	2016-11-08	county	ADAMS	01AAZ	WEST UNION	ADAMS CO FAIRGROUNDS	836 BOYD AVE, WEST UNION, OH, 45693	38.8008357	-83.5386984
OH	2016-11-08	county	ADAMS	01ABA	WEST UNION	ADAMS CO FAIRGROUNDS	836 BOYD AVE, WEST UNION, OH, 45693	38.8008357	-83.5386984
OH	2016-11-08	county	ADAMS	01ABC	WEST UNION	ADAMS CO FAIRGROUNDS	836 BOYD AVE, WEST UNION, OH, 45693	38.8008357	-83.5386984
OH	2016-11-08	county	ADAMS	01ABE	CHERRY FORK	WAYNE TWP FIREHOUSE	14815 SR 136, CHERRY FORK, OH, 45618	38.8895347	-83.6148462
OH	2016-11-08	county	ADAMS	01ABG	WINCHESTER	RED BARN PAVILION	2223A RUSSELLVILLE RD, WINCHESTER, OH, 45697	38.933784	-83.6610245
OH	2016-11-08	county	ADAMS	01ABH	WINCHESTER	RED BARN PAVILION	2223A RUSSELLVILLE RD, WINCHESTER, OH, 45697	38.933784	-83.6610245
OH	2016-11-08	county	ADAMS	01ABI	WEST UNION	LIBERTY TWP BLDG	8632 SR 136, WEST UNION, OH, 45693	38.8028182	-83.6033899
OH	2016-11-08	county	ALLEN	02AAA	DELPHOS	DELPHOS UNITED METHODIST	211 E. THIRD STREET, DELPHOS, OH, 45833	40.8446453	-84.337977
OH	2016-11-08	county	ALLEN	02AAC	DELPHOS	DELPHOS UNITED METHODIST	211 E. THIRD STREET, DELPHOS, OH, 45833	40.8446453	-84.337977
OH	2016-11-08	county	ALLEN	02AAE	DELPHOS	DELPHOS SENIOR CITIZENS CENTER	301 SUTHOFF, DELPHOS, OH, 45833	40.836473	-84.3368265
OH	2016-11-08	county	ALLEN	02AAG	DELPHOS	DELPHOS SENIOR CITIZENS CENTER	301 SUTHOFF, DELPHOS, OH, 45833	40.836473	-84.3368265
OH	2016-11-08	county	ALLEN	02AAH	LIMA	ST. GERARD SCHOOL	1311 N. MAIN STREET, LIMA, OH, 45801	40.760064	-84.1058214
OH	2016-11-08	county	ALLEN	02AAJ	LIMA	NORTH MIDDLE SCHOOL	1135 N. WEST STREET, LIMA, OH, 45801	40.7846404	-84.1087506
OH	2016-11-08	county	ALLEN	02AAK	LIMA	ST. ROSE HALL	523 N. WEST STREET, LIMA, OH, 45801	40.7846404	-84.1087506
OH	2016-11-08	county	ALLEN	02AAO	LIMA	ZION LUTHERAN CHURCH	1300 EDGEWOOD DRIVE, LIMA, OH, 45805	40.7702395	-84.1287595
OH	2016-11-08	county	ALLEN	02AAP	LIMA	ST. GERARD SCHOOL	1311 N. MAIN STREET, LIMA, OH, 45801	40.760064	-84.1058214
OH	2016-11-08	county	ALLEN	02AAQ	LIMA	ST. ROSE HALL	523 N. WEST STREET, LIMA, OH, 45801	40.7846404	-84.1087506
OH	2016-11-08	county	ALLEN	02AAW	LIMA	SECOND BAPTIST CHURCH	520 W. SPRING STREET, LIMA, OH, 45801	40.7390648	-84.1110621
OH	2016-11-08	county	ALLEN	02AAX	LIMA	ST. LUKE S LUTHERAN CHURCH	209 W. NORTH STREET, LIMA, OH, 45801	40.7424652	-84.1071529
OH	2016-11-08	county	ALLEN	02AAY	LIMA	LIMA SENIOR HIGH SCHOOL	1 SPARTAN WAY, LIMA, OH, 45801	40.7412622	-84.0964878
OH	2016-11-08	county	ALLEN	02ABE	LIMA	WEST MIDDLE SCHOOL	503 N. CABLE ROAD, LIMA, OH, 45805	40.7457128	-84.1493724
OH	2016-11-08	county	ALLEN	02ABF	LIMA	BRADFIELD CENTER	550 S COLLETT, LIMA, OH, 45805	40.7339404	-84.1196818
OH	2016-11-08	county	ALLEN	02ABH	LIMA	L.C.C. HIGH SCHOOL	720 S. CABLE ROAD, LIMA, OH, 45805	40.7309197	-84.1505315
OH	2016-11-08	county	ALLEN	02ABI	LIMA	L.C.C. HIGH SCHOOL	720 S. CABLE ROAD, LIMA, OH, 45805	40.7309197	-84.1505315
OH	2016-11-08	county	ALLEN	02ABP	LIMA	FREEDOM ELEMENTARY SCHOOL	575 S. CALUMET, LIMA, OH, 45804	40.733247	-84.0906421
OH	2016-11-08	county	ALLEN	02ABQ	LIMA	UNITY ELEMENTARY SCHOOL	925 E. 3RD STREET, LIMA, OH, 45804	40.7188716	-84.0915406
OH	2016-11-08	county	ALLEN	02ABR	LIMA	UNITY ELEMENTARY SCHOOL	925 E. 3RD STREET, LIMA, OH, 45804	40.7188716	-84.0915406
OH	2016-11-08	county	ALLEN	02ABT	LIMA	FREEDOM ELEMENTARY SCHOOL	575 S. CALUMET, LIMA, OH, 45804	40.733247	-84.0906421
OH	2016-11-08	county	ALLEN	02ABW	LIMA	BRADFIELD CENTER	550 S COLLETT, LIMA, OH, 45805	40.7339404	-84.1196818
OH	2016-11-08	county	ALLEN	02ABX	LIMA	LIMA TOWERS	790 S. MAIN STREET, LIMA, OH, 45804	40.7275343	-84.1054937
OH	2016-11-08	county	ALLEN	02ABZ	LIMA	PHILLIPPIAN MISSIONARY BAPTIST	190 E. 8TH STREET, LIMA, OH, 45804	40.7114643	-84.1036443
OH	2016-11-08	county	ALLEN	02ACD	LIMA	WEST MIDDLE SCHOOL	503 N. CABLE ROAD, LIMA, OH, 45805	40.7457128	-84.1493724
OH	2016-11-08	county	ALLEN	02ACE	LIMA	HERITAGE ELEMENTARY SCHOOL	816 COLLEGE AVENUE, LIMA, OH, 45805	40.748713	-84.1261973
OH	2016-11-08	county	ALLEN	02ACG	LIMA	WEST MIDDLE SCHOOL	503 N. CABLE ROAD, LIMA, OH, 45805	40.7457128	-84.1493724
OH	2016-11-08	county	ALLEN	02ACT	SPENCERVILLE	AMANDA TOWNSHIP HOUSE	690 S. CONANT ROAD, SPENCERVILLE, OH, 45887	40.7293527	-84.2809797
OH	2016-11-08	county	ALLEN	02ACU	SPENCERVILLE	AMANDA TOWNSHIP HOUSE	690 S. CONANT ROAD, SPENCERVILLE, OH, 45887	40.7293527	-84.2809797
OH	2016-11-08	county	ALLEN	02ACW	ELIDA	AMERICAN TOWNSHIP HOUSE	102 PIONEER ROAD, ELIDA, OH, 45807	40.7831668	-84.1886468
OH	2016-11-08	county	ALLEN	02ACX	LIMA	ZION LUTHERAN CHURCH	1300 EDGEWOOD DRIVE, LIMA, OH, 45805	40.7702395	-84.1287595
OH	2016-11-08	county	ALLEN	02ACY	LIMA	ZION LUTHERAN CHURCH	1300 EDGEWOOD DRIVE, LIMA, OH, 45805	40.7702395	-84.1287595
OH	2016-11-08	county	ALLEN	02ACZ	LIMA	ZION LUTHERAN CHURCH	1300 EDGEWOOD DRIVE, LIMA, OH, 45805	40.7702395	-84.1287595
OH	2016-11-08	county	ALLEN	02ADA	LIMA	APPLESEED RIDGE GIRL SCOUT	1870 W. ROBB AVENUE, LIMA, OH, 45805	40.7624956	-84.1356862
OH	2016-11-08	county	ALLEN	02ADB	LIMA	SHERWOOD PARK COMMUNITY CLUB	1680 VICTORIA LANE, LIMA, OH, 45805	40.7570252	-84.1547425
OH	2016-11-08	county	ALLEN	02ADC	LIMA	NEW HOPE CHRISTIAN CENTER	2240 BATY ROAD, LIMA, OH, 45805	40.7696384	-84.1833805
OH	2016-11-08	county	ALLEN	02ADD	ELIDA	AMERICAN TOWNSHIP HOUSE	102 PIONEER ROAD, ELIDA, OH, 45807	40.7831668	-84.1886468
OH	2016-11-08	county	ALLEN	02ADE	LIMA	NEW HOPE CHRISTIAN CENTER	2240 BATY ROAD, LIMA, OH, 45805	40.7696384	-84.1833805
OH	2016-11-08	county	ALLEN	02ADF	LIMA	SENIOR CITIZENS SERVICES	3400 W. ELM STREET, LIMA, OH, 45805	40.7375681	-84.1693105
OH	2016-11-08	county	ALLEN	02ADG	LIMA	SENIOR CITIZENS SERVICES	3400 W. ELM STREET, LIMA, OH, 45805	40.7375681	-84.1693105
OH	2016-11-08	county	ALLEN	02ADI	LIMA	SENIOR CITIZENS SERVICES	3400 W. ELM STREET, LIMA, OH, 45805	40.7375681	-84.1693105
OH	2016-11-08	county	ALLEN	02ADQ	ELIDA	ELIDA IMMANUEL UNITED	699 SUNNYDALE, ELIDA, OH, 45807	40.7880093	-84.1935379
OH	2016-11-08	county	ALLEN	02ADR	ELIDA	ELIDA IMMANUEL UNITED	699 SUNNYDALE, ELIDA, OH, 45807	40.7880093	-84.1935379
OH	2016-11-08	county	ALLEN	02ADT	HARROD	ALLEN EAST COMMUNITY CENTER	9520 HARROD ROAD, HARROD, OH, 45850	40.7055378	-83.9262889
