state,elctn_d,jrsdct_,cnty_nm,prcnct_,mncplty,name,address,In_Ohio,moved_or_closed,GEOID,pop_change,bg_pct_nonwhite,bg_population,Total,county_name
OH,2012-11-06,county,ADAMS,01-AAA,PEEBLES,BRATTON TOWNSHIP BLDG,"2535 LOUDEN RD, PEEBLES, OH, 45660",1,0,390017702001,1.1425619834710743,0.02411091018685951,1659,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAB,WEST UNION,CEDAR MILLS SCHOOL,"4910 SR 348, WEST UNION, OH, 45693",1,1,390017705001,1.251908396946565,0.1242378048780488,1312,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAC,WEST UNION,LYNX (OLD LYNX SCHOOL BLDG),"505 LYNX DR, WEST UNION, OH, 45693",1,0,390017705001,1.251908396946565,0.1242378048780488,1312,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAD,PEEBLES,FRANKLIN TOWNSHIP FIREHOUSE,"29670 SR 41, PEEBLES, OH, 45660",1,0,390017701001,0.9307568438003221,0,1156,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAE,STOUT,GREEN TOWNSHIP FIREHOUSE,"2243 BLUE CREEK RD, STOUT, OH, 45684",1,0,390017705003,1.0910384068278804,0.09256844850065192,767,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAF,STOUT,ROME VILLAGE TOWNSHIP BLDG,"225 SECOND ST, STOUT, OH, 45684",1,1,390017705003,1.0910384068278804,0.09256844850065192,767,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAG,BLUE CREEK,JEFFERSON SCHOOL GYMNASIUM (CHURN CREEK),"8990 BLUE CREEK RD, BLUE CREEK, OH, 45616",1,0,390017705002,1.1147811725846408,0.0377777777777778,1350,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAI,WEST UNION,LIBERTY TWP BLDG (LIBERTY SOUTH),"8632 SR 136, WEST UNION, OH, 45693",1,0,390017703004,0.9611859838274932,0,1783,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAJ,MANCHESTER,MANCHESTER COMM BLDG (MANCHESTER TWP),"400 PIKE ST, MANCHESTER, OH, 45144",1,0,390017706002,1.0512405609492987,0.03283735248845565,1949,4357,Adams County
OH,2012-11-06,county,ADAMS,01-AAN,PEEBLES,PEEBLES LIFE SQUAD BLDG(JACKSONVILLE),"150 MARBLE FURNACE RD, PEEBLES, OH, 45660",1,1,390017701002,1.0460614152202938,0.07147415443522653,1567,4357,Adams County
